Price,Adj Close,Close,High,Low,Open,Volume,MA50,RSI14
2019-03-14,59.479217529296875,59.62649917602539,60.23500061035156,59.561500549316406,59.95100021362305,27302000,55.712649993896484,79.79918289367673
2019-03-15,59.36799621582031,59.51499938964844,60.08599853515625,59.35049819946289,59.900001525878906,51886000,55.8482699584961,78.29831174441236
2019-03-18,59.28071212768555,59.4275016784668,59.747501373291016,59.07400131225586,59.484500885009766,24442000,56.011350021362304,76.40480870187568
2019-03-19,59.97449493408203,60.12300109863281,60.170501708984375,59.472999572753906,59.58599853515625,29788000,56.13574005126953,78.61616030800764
2019-03-20,61.1700325012207,61.32149887084961,61.4995002746582,59.97949981689453,60.06999969482422,41508000,56.28625,81.3418153420231
2019-03-21,61.65383529663086,61.80649948120117,61.821998596191406,60.82899856567383,61.0,28150000,56.437009963989254,79.78517114408344
2019-03-22,60.23335266113281,60.38249969482422,61.68149948120117,60.29999923706055,61.442501068115234,34422000,56.56300994873047,65.88925584142282
2019-03-25,59.72111892700195,59.86899948120117,60.47200012207031,59.5,59.97800064086914,27576000,56.68155990600586,58.53467439569961
2019-03-26,59.345054626464844,59.492000579833984,60.38249969482422,59.0880012512207,60.259498596191406,30752000,56.806929931640624,57.39135555027118
2019-03-27,58.75501251220703,58.9005012512207,59.59600067138672,58.21149826049805,59.59600067138672,29428000,56.933429946899416,58.17188148485503
2019-03-28,58.46872329711914,58.61349868774414,58.86249923706055,58.17150115966797,58.775001525878906,22402000,57.01918991088867,56.51893477452143
2019-03-29,58.69915008544922,58.84450149536133,59.19850158691406,58.319000244140625,59.00899887084961,30890000,57.10656997680664,49.19040917383373
2019-04-01,59.80092239379883,59.94900131225586,60.0099983215332,59.31800079345703,59.37699890136719,27706000,57.206429977416995,50.57487932503144
2019-04-02,60.12811279296875,60.277000427246094,60.29050064086914,59.5620002746582,60.002498626708984,18288000,57.30466995239258,52.087368929647994
2019-04-03,60.39096450805664,60.54050064086914,61.029998779296875,60.25400161743164,60.6349983215332,22180000,57.436849975585936,55.93661793155942
2019-04-04,60.821895599365234,60.97249984741211,61.02750015258789,60.45199966430664,60.56449890136719,21022000,57.57188995361328,59.0883638970676
2019-04-05,60.422882080078125,60.5724983215332,61.019500732421875,60.50149917602539,60.96500015258789,20012000,57.699339904785155,56.87190293426231
2019-04-08,60.26477813720703,60.41400146484375,60.6974983215332,60.23500061035156,60.55550003051758,21750000,57.80610992431641,51.86682328757066
2019-04-09,59.985965728759766,60.134498596191406,60.35749816894531,59.91899871826172,60.09450149536133,19668000,57.92893989562988,41.36727551975568
2019-04-10,60.173500061035156,60.3224983215332,60.446998596191406,60.03300094604492,60.25450134277344,15510000,58.06532989501953,38.71997188561249
